"MCOPY Performance", "MCOPY Performance"
25536, 618.1
25600, 640.7
25664, 641.4
25728, 652.9
25792, 670.9
25856, 675.8
25920, 702.9
25984, 706.7
26048, 697.6
26112, 684.6
26176, 665.1
26240, 630.0
26304, 634.2
26368, 629.1
26432, 638.2
26496, 625.2
26560, 624.9
26624, 622.7
26688, 626.6
26752, 632.7
26816, 624.6
26880, 634.0
26944, 632.7
27008, 634.0
27072, 633.6
27136, 630.8
27200, 635.4
27264, 635.0
27328, 644.6
27392, 636.3
27456, 677.2
27520, 652.5
27584, 656.1
27648, 648.5
27712, 658.7
